-40`C, 4.019M
-39`C, 3.738M
-38`C, 3.479M
-37`C, 3.24M
-36`C, 3.02M
-35`C, 2.816M
-34`C, 2.627M
-33`C, 2.452M
-32`C, 2.291M
-31`C, 2.141M
-30`C, 2.002M
-29`C, 1.873M
-28`C, 1.754M
-27`C, 1.642M
-26`C, 1.539M
-25`C, 1.443M
-24`C, 1.354M
-23`C, 1.271M
-22`C, 1.193M
-21`C, 1.121M
-20`C, 1.054M
-19`C, 991.1k
-18`C, 932.5k
-17`C, 877.8k
-16`C, 826.7k
-15`C, 779k
-14`C, 734.3k
-13`C, 692.5k
-12`C, 653.4k
-11`C, 616.8k
-10`C, 582.5k
-9`C, 550.3k
-8`C, 520.1k
-7`C, 491.8k
-6`C, 465.2k
-5`C, 440.3k
-4`C, 416.8k
-3`C, 394.8k
-2`C, 374k
-1`C, 354.6k
0`C, 336.2k
1`C, 318.9k
2`C, 302.7k
3`C, 287.3k
4`C, 272.9k
5`C, 259.2k
6`C, 246.4k
7`C, 234.3k
8`C, 222.8k
9`C, 212k
10`C, 201.7k
11`C, 192.1k
12`C, 182.9k
13`C, 174.3k
14`C, 166.1k
15`C, 158.4k
16`C, 151k
17`C, 144.1k
18`C, 137.5k
19`C, 131.3k
20`C, 125.4k
21`C, 119.7k
22`C, 114.4k
23`C, 109.4k
24`C, 104.6k
25`C, 100k
26`C, 95.67k
27`C, 91.55k
28`C, 87.64k
29`C, 83.91k
30`C, 80.37k
31`C, 77k
32`C, 73.79k
33`C, 70.74k
34`C, 67.83k
35`C, 65.06k
36`C, 62.41k
37`C, 59.89k
38`C, 57.49k
39`C, 55.2k
40`C, 53.01k
41`C, 50.93k
42`C, 48.94k
43`C, 47.03k
44`C, 45.22k
45`C, 43.48k
46`C, 41.82k
47`C, 40.24k
48`C, 38.72k
49`C, 37.27k
50`C, 35.88k
51`C, 34.55k
52`C, 33.28k
53`C, 32.07k
54`C, 30.9k
55`C, 29.78k
56`C, 28.71k
57`C, 27.69k
58`C, 26.71k
59`C, 25.77k
60`C, 24.86k
61`C, 23.99k
62`C, 23.16k
63`C, 22.37k
64`C, 21.6k
65`C, 20.86k
66`C, 20.16k
67`C, 19.48k
68`C, 18.83k
69`C, 18.2k
70`C, 17.6k
71`C, 17.02k
72`C, 16.46k
73`C, 15.93k
74`C, 15.41k
75`C, 14.92k
76`C, 14.44k
77`C, 13.98k
78`C, 13.54k
79`C, 13.11k
80`C, 12.7k
81`C, 12.31k
82`C, 11.93k
83`C, 11.56k
84`C, 11.21k
85`C, 10.87k
86`C, 10.54k
87`C, 10.22k
88`C, 9.915k
89`C, 9.62k
90`C, 9.336k
91`C, 9.061k
92`C, 8.796k
93`C, 8.54k
94`C, 8.292k
95`C, 8.054k
96`C, 7.823k
97`C, 7.6k
98`C, 7.385k
99`C, 7.176k
100`C, 6.975k
101`C, 6.781k
102`C, 6.592k
103`C, 6.41k
104`C, 6.234k
105`C, 6.064k
106`C, 5.899k
107`C, 5.74k
108`C, 5.586k
109`C, 5.436k
110`C, 5.291k
111`C, 5.151k
112`C, 5.016k
113`C, 4.884k
114`C, 4.757k
115`C, 4.633k
116`C, 4.514k
117`C, 4.398k
118`C, 4.285k
119`C, 4.177k
120`C, 4.071k
